nome,scoreGiocatore,timestamp
Giocatore 1,254,1603980863183,
Giocatore 2,242,1603980863195,
Giocatore 3,229,1603980863209,
Giocatore 4,217,1603980863221,
Giocatore 1,1741,1603981034983,
Giocatore 1,253,1603981195933,
Giocatore 1,1003,1603981253026,
Giocatore 1,1017,1603981285024,
Giocatore 1,264,1603981297293,
Giocatore 2,495,1603981297304,
Giocatore 3,984,1603981297316,
Giocatore 4,217,1603981297329,
Giocatore 1,750,1603981494927,
Giocatore 1,764,1603981626210,
Giocatore 1,1003,1603981892793,
Giocatore 1,274,1603981941226,
Giocatore 1,253,1603981978845,
Giocatore 1,757,1603989772765,
Giocatore 1,4455,1603989904870,
Giocatore 1,258,1603989932569,
Giocatore 2,253,1603989932579,
Giocatore 3,984,1603989932584,
Giocatore 4,2235,1603989932604,
Giocatore 1,260,1603989942494,
Giocatore 2,741,1603989942504,
Giocatore 3,239,1603989942514,
Giocatore 4,721,1603989942524,
Giocatore 1,260,1603989963274,
Giocatore 2,741,1603989963285,
Giocatore 3,986,1603989963296,
Giocatore 4,1705,1603989963305,
Giocatore 1,254,1603989968235,
Giocatore 2,242,1603989968245,
Giocatore 3,229,1603989968259,
Giocatore 4,217,1603989968269,
Giocatore 1,254,1603989972892,
Giocatore 2,242,1603989972905,
Giocatore 3,229,1603989972915,
Giocatore 4,217,1603989972925,
Giocatore 1,262,1603990028621,
Giocatore 2,4667,1603990028624,
Giocatore 3,229,1603990028645,
Giocatore 4,475,1603990028655,
Giocatore 1,274,1603990044829,
Giocatore 2,1247,1603990044839,
Giocatore 3,229,1603990044845,
Giocatore 4,217,1603990044865,
Giocatore 1,259,1603990104829,
Giocatore 2,256,1603990104834,
Giocatore 3,5045,1603990104844,
Giocatore 4,5037,1603990104865,
Giocatore 1,254,1603990155060,
Giocatore 2,254,1603990155065,
Giocatore 3,229,1603990155085,
Giocatore 4,4219,1603990155095,
Giocatore 1,254,1603990167322,
Giocatore 2,741,1603990167325,
Giocatore 3,239,1603990167345,
Giocatore 4,967,1603990167354,
Giocatore 1,1026,1604064188398,
Giocatore 1,751,1604064198914,
Giocatore 2,242,1604064198914,
Giocatore 3,731,1604064198920,
Giocatore 4,721,1604064198920,
Giocatore 1,271,1604064390780,
Giocatore 1,251,1604064527886,
Giocatore 1,269,1604064547215,
Giocatore 2,495,1604064547215,
Giocatore 3,731,1604064547222,
Giocatore 4,721,1604064547232,
Giocatore 1,511,1604064604358,
Giocatore 1,2024,1604077913222,
Giocatore 1,269,1604077934513,
Giocatore 2,741,1604077934513,
Giocatore 3,977,1604077934523,
Giocatore 4,1712,1604077934534,
Giocatore 1,508,1605174678304,
Giocatore 1,254,1605174688387,
Giocatore 2,242,1605174688393,
Giocatore 3,485,1605174688398,
Giocatore 4,728,1605174688404,
Giocatore 1,761,1605180897483,
Giocatore 1,254,1605180906171,
Giocatore 2,242,1605180906178,
Giocatore 3,229,1605180906185,
Giocatore 4,475,1605180906191,
Giocatore 1,253,1605181189589,
Giocatore 1,253,1605181215198,
Giocatore 1,764,1605181307017,
Giocatore 1,254,1605181311084,
Giocatore 2,242,1605181311092,
Giocatore 3,229,1605181311098,
Giocatore 4,217,1605181311104,
Giocatore 1,253,1605182234142,
Giocatore 1,249,1605182933525,
Giocatore 1,254,1605182940449,
Giocatore 2,242,1605182940457,
Giocatore 3,229,1605182940463,
Giocatore 4,217,1605182940470,
Giocatore 1,253,1605183225876,
Giocatore 1,253,1605183279430,
Giocatore 1,244,1605183285973,
Giocatore 2,222,1605183285980,
Giocatore 3,199,1605183285987,
Giocatore 4,450,1605183285993,
Giocatore 1,244,1605183296504,
Giocatore 2,479,1605183296511,
Giocatore 3,461,1605183296518,
Giocatore 4,177,1605183296524,
Giocatore 1,506,1605183556201,
Giocatore 1,764,1605184434974,
Giocatore 1,504,1605184466315,
Giocatore 1,255,1605184491768,
Giocatore 2,238,1605184491776,
Giocatore 3,201,1605184491783,
Giocatore 4,450,1605184491789,
Giocatore 1,504,1605184526643,
Giocatore 1,264,1605184579723,
Giocatore 1,253,1605184927624,
Giocatore 1,514,1605624839007,
Giocatore 1,244,1605624848137,
Giocatore 2,222,1605624848146,
Giocatore 3,214,1605624848152,
Giocatore 4,696,1605624848158,
Giocatore 1,1004,1605624863813,
Giocatore 2,978,1605624863821,
Giocatore 3,967,1605624863827,
Giocatore 4,1188,1605624863833,
